symbol,source,published_at,headline,summary
GMRAIRPORT,NSE_CORP_ANN,,General Updates,"GMR AIRPORTS LIMITED has informed the Exchange about SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 - Monthly Traffic Updates"
GLENMARK,NSE_CORP_ANN,,Press Release,"Glenmark Pharmaceuticals Limited has informed the Exchange regarding a press release dated December 16, 2025, titled ""Glenmark Secures Exclusive Multi-Regional Rights to Aumolertinib, an MHRA and NMPA approved Third-Generation EGFR-TKI, from Hansoh Pharma""."
GLENMARK,NSE_CORP_ANN,,Press Release,"Glenmark Pharmaceuticals Limited has informed the Exchange regarding a press release dated December 11, 2025, titled ""Glenmark Pharmaceuticals Inc., USA to launch Leucovorin Calcium for Injection USP, 350 mg/vial Single-Dose Vial""."
HCLTECH,NSE_CORP_ANN,,Acquisition,HCL Technologies Limited has informed the Exchange about Acquisition
HCLTECH,NSE_CORP_ANN,,Updates,HCL Technologies Limited has informed the Exchange regarding 'Release    ASN Bank signs a contract with HCLTech to accelerate digital transformation and enhance customer experience
HCLTECH,NSE_CORP_ANN,,Updates,HCL Technologies Limited has informed the Exchange regarding 'Release    NSE Academy collaborates with HCLTech to develop next-gen workforce for the evolving digital economy '.
HCLTECH,NSE_CORP_ANN,,Updates,HCL Technologies Limited has informed the Exchange regarding 'Release    Aurobay Technologies expands digital transformation partnership with HCLTech to boost manufacturing excellence and innovation '.
HCLTECH,NSE_CORP_ANN,,Updates,HCL Technologies Limited has informed the Exchange regarding 'Release    HCLTech recognized as a Leader in the IDC MarketScape for Worldwide Experience Build Services 2025 '.
HCLTECH,NSE_CORP_ANN,,Updates,"HCL Technologies Limited has informed the Exchange regarding 'Release:  HCLFoundation celebrates India s rich handicraft heritage, facilitates dialogues to strengthen sector '."
HDFCBANK,NSE_CORP_ANN,,ESOP/ESOS/ESPS,HDFC Bank Limited has informed the Exchange regarding Allotment of 2066610  Shares.
HDFCBANK,NSE_CORP_ANN,,Copy of Newspaper Publication,HDFC Bank Limited has informed the Exchange about Copy of Newspaper Publication
HDFCBANK,NSE_CORP_ANN,,General Updates,HDFC Bank Limited has informed the Exchange about General Updates
HDFCBANK,NSE_CORP_ANN,,Change in Management,HDFC Bank Limited has informed the Exchange about change in Management
HDFCLIFE,NSE_CORP_ANN,,General Updates,HDFC Life Insurance Company Limited has informed the Exchange about the allotment of 769885 securities pursuant to ESOP/ESPS
HDFCLIFE,NSE_CORP_ANN,,General Updates,HDFC Life Insurance Company Limited has informed the Exchange about the allotment of debentures
HFCL,NSE_CORP_ANN,,Updates,"HFCL Limited has informed the Exchange regarding 'Update on Sale of 2,17,594 equity shares i.e. entire stake, held in Nivetti Systems Private Limited'."
HFCL,NSE_CORP_ANN,,Updates,HFCL Limited has informed the Exchange regarding 'Sustainability Report for the financial year 2024-25'.
HAVELLS,NSE_CORP_ANN,,Change in Management,Havells India Limited has informed the Exchange about change in Management
HAVELLS,NSE_CORP_ANN,,Change in Management,Havells India Limited has informed the Exchange about change in Management
HEROMOTOCO,NSE_CORP_ANN,,Press Release,Please find enclosed herewith a copy of the Press Release being issued by the Company.
HINDALCO,NSE_CORP_ANN,,General Updates,Hindalco Industries Limited has informed the Exchange about General Updates
HINDUNILVR,NSE_CORP_ANN,,General Updates,Update on acquisition of Equity Shares of Transition Sustainable Energy Services One Private Limited
HINDUNILVR,NSE_CORP_ANN,,Trading Window,"Hindustan Unilever Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
HINDUNILVR,NSE_CORP_ANN,,General Updates,Material update in connection with the Scheme of Arrangement - Communication received from Kwality Wall's (India) Limited
HINDUNILVR,NSE_CORP_ANN,,General Updates,Hindustan Unilever Limited has informed the Exchange about General Updates
HINDZINC,NSE_CORP_ANN,,Action(s) taken or orders passed,Hindustan Zinc Limited has informed the Exchange about Action(s) taken or orders passed
HINDZINC,NSE_CORP_ANN,,Action(s) taken or orders passed,Hindustan Zinc Limited has informed the Exchange about Action(s) taken or orders passed
HINDZINC,NSE_CORP_ANN,,General Updates,"Hindustan Zinc Limited has informed the Exchange regarding Intimation under the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( Listing Regulations )   ESG Rating(s)"
POWERINDIA,NSE_CORP_ANN,,Action(s) taken or orders passed,Hitachi Energy India Limited has informed the Exchange about Action(s) taken or orders passed
POWERINDIA,NSE_CORP_ANN,,Trading Window,"Hitachi Energy India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
POWERINDIA,NSE_CORP_ANN,,Action(s) taken or orders passed,Hitachi Energy India Limited has informed the Exchange about Action(s) taken or orders passed
HUDCO,NSE_CORP_ANN,,Outcome of Board Meeting,"Housing & Urban Development Corporation Limited has informed the Exchange regarding  Board meeting held on December 12, 2025."
HUDCO,NSE_CORP_ANN,,Committee Meeting Updates,"Housing & Urban Development Corporation Limited has informed the Exchange regarding Outcome of Committee Meeting held on December 12, 2025."
ICICIBANK,NSE_CORP_ANN,,ESOP/ESOS/ESPS,ICICI Bank Limited has informed the Exchange regarding Allotment of 19752  Shares.
ICICIBANK,NSE_CORP_ANN,,General Updates,"ICICI Bank Limited has informed the Exchange about disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015"
ICICIBANK,NSE_CORP_ANN,,General Updates,"ICICI Bank Limited has informed the Exchange about disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
ICICIBANK,NSE_CORP_ANN,,ESOP/ESOS/ESPS,ICICI Bank Limited has informed the Exchange regarding Allotment of 76323  Shares.
ICICIBANK,NSE_CORP_ANN,,ESOP/ESOS/ESPS,ICICI Bank Limited has informed the Exchange regarding Allotment of 255634  Shares.
ICICIGI,NSE_CORP_ANN,,Updates,"ICICI Lombard General Insurance Company Limited has informed the Exchange regarding 'Schedule Of Analyst/ Institutional Investor Meet - Intimation. Rescheduling of Analyst/Institutional Investor Meet to held on December 16, 2025.'."
ICICIGI,NSE_CORP_ANN,,ESOP/ESOS/ESPS,ICICI Lombard General Insurance Company Limited has informed the Exchange regarding Allotment of 28523  Shares.
ICICIPRULI,NSE_CORP_ANN,,ESOP/ESOS/ESPS,ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Allotment of 78351  Shares.
IIFL,NSE_CORP_ANN,,Credit Rating,IIFL Finance Limited has informed the Exchange about Credit Rating
IIFL,NSE_CORP_ANN,,Allotment of Securities,IIFL Finance Limited has informed the Exchange regarding Intimation of Allotment of Non-Convertible Debentures on Private Placement basis
IIFL,NSE_CORP_ANN,,Press Release,"IIFL Finance Limited has informed the Exchange regarding a press release dated December 16, 2025, titled ""S&P Upgrades IIFL Finances Outlook to Positive On Recovering Market Share in Gold Loans; 'B+/B' Ratings Affirmed""."
IIFL,NSE_CORP_ANN,,Credit Rating,IIFL Finance Limited has informed the Exchange about Credit Rating
IIFL,NSE_CORP_ANN,,Credit Rating,IIFL Finance Limited has informed the Exchange about Credit Rating
IIFL,NSE_CORP_ANN,,Outcome of Board Meeting,"IIFL Finance Limited has informed the Exchange regarding Finance Committee meeting held today i.e., December 11, 2025 whereby the terms and conditions of issuance of debt instruments in the form of senior, unsecured, listed, rated, redeemable Non-Convertible Debentures on a private placement basis were approved"
ITC,NSE_CORP_ANN,,General Updates,ITC Limited has informed the Exchange about Acquisition of Pulp and Paper Undertaking of Aditya Birla Real Estate Limited - Update
ITC,NSE_CORP_ANN,,Change in Director(s),ITC Limited has informed the Exchange regarding Change in Director(s) of the company.
ITC,NSE_CORP_ANN,,Shareholders meeting,ITC Limited has informed the Exchange regarding voting results of  Postal Ballot
